Campaign_ID,Date,Channel,Campaign_Type,Target_Audience,Location,Impressions,Clicks,Conversions,CTR_Pct,CVR_Pct,Spend,Revenue,CPC,ROAS
CAMP-0034,2023-11-21,Meta Ads,Retargeting,25-34,Pune,32300,649,23,2.0108,3.5794,12264.74,23135.69,18.9,1.8864
CAMP-0035,2023-06-20,YouTube,Retargeting,18-24,Mumbai,70536,444,10,0.6308,2.3677,2937.42,6352.91,6.62,2.1628
CAMP-0036,2023-12-20,YouTube,Brand Awareness,18-24,Mumbai,79239,514,4,0.6491,0.8576,4467.77,10404.49,8.69,2.3288
CAMP-0037,2023-07-06,YouTube,Lead Generation,18-24,Bangalore,78915,1130,26,1.4331,2.3555,6100.81,12425.6,5.4,2.0367
CAMP-0038,2023-10-14,Meta Ads,Brand Awareness,35-44,Kolkata,41632,1227,57,2.9477,4.6733,23446.95,51640.82,19.11,2.2025
CAMP-0039,2023-04-02,Meta Ads,Lead Generation,45-54,Mumbai,36770,943,27,2.5648,2.9116,15124.67,46124.16,16.04,3.0496
CAMP-0040,2023-12-26,Meta Ads,Retargeting,25-34,Kolkata,22084,389,10,1.7651,2.751,5309.18,11357.79,13.65,2.1393
CAMP-0041,2023-04-27,YouTube,Retargeting,35-44,Kolkata,34609,181,2,0.5237,1.5249,1499.15,4192.42,8.28,2.7965
CAMP-0042,2023-12-14,Email,Retargeting,55+,Hyderabad,6392,1042,60,16.3049,5.7932,7567.24,43766.23,7.26,5.7836
CAMP-0043,2023-11-02,LinkedIn,Retargeting,18-24,Mumbai,6559,199,9,3.0371,4.9166,9443.7,42198.91,47.46,4.4685
CAMP-0044,2023-05-11,Google Search,Conversion,55+,Delhi,5727,391,13,6.8351,3.5059,14999.8,72690.98,38.36,4.8461
CAMP-0045,2023-12-07,Meta Ads,Retargeting,45-54,Mumbai,36639,823,29,2.2463,3.5911,7814.8,26023.91,9.5,3.3301
CAMP-0046,2023-07-26,LinkedIn,Retargeting,45-54,Bangalore,8711,251,7,2.887,3.1582,11751.28,51479.15,46.82,4.3807
CAMP-0047,2023-01-01,Meta Ads,Retargeting,45-54,Chennai,34914,549,16,1.5738,2.9607,8212.94,23924.29,14.96,2.913
CAMP-0048,2023-04-20,YouTube,Conversion,45-54,Pune,53500,520,13,0.9732,2.5221,6739.33,11824.4,12.96,1.7545
CAMP-0049,2023-11-21,Google Search,Retargeting,55+,Pune,10491,458,31,4.3735,6.832,10610.54,45371.19,23.17,4.276
CAMP-0050,2023-05-06,Meta Ads,Lead Generation,18-24,Mumbai,46138,1025,35,2.2225,3.4444,13801.62,45634.13,13.46,3.3064
CAMP-0051,2023-07-24,LinkedIn,Lead Generation,45-54,Hyderabad,4998,122,6,2.4427,5.1754,8016.18,33835.34,65.71,4.2209
CAMP-0052,2023-12-23,Google Search,Conversion,25-34,Delhi,13486,790,79,5.8582,10.1231,30165.63,114731.85,38.18,3.8034
CAMP-0053,2023-11-01,Meta Ads,Conversion,55+,Chennai,35794,1038,33,2.9001,3.272,15935.2,48168.38,15.35,3.0228
CAMP-0054,2023-03-23,LinkedIn,Conversion,55+,Hyderabad,9092,416,13,4.5845,3.3602,24989.57,104449.55,60.07,4.1797
CAMP-0055,2023-08-14,Email,Conversion,25-34,Bangalore,2634,560,75,21.2761,13.4484,2248.45,17266.03,4.02,7.6791
CAMP-0056,2023-07-16,Google Search,Lead Generation,25-34,Delhi,7503,512,35,6.8257,6.9175,13807.2,67055.05,26.97,4.8565
CAMP-0057,2023-08-04,YouTube,Brand Awareness,25-34,Kolkata,45524,639,18,1.4048,2.8186,7639.39,21276.45,11.96,2.7851
CAMP-0058,2023-06-30,LinkedIn,Conversion,45-54,Mumbai,5446,232,13,4.2604,5.7724,15807.83,52767.21,68.14,3.338
CAMP-0059,2023-05-20,LinkedIn,Lead Generation,45-54,Delhi,6570,227,9,3.4569,4.0999,12883.37,52773.95,56.75,4.0963
CAMP-0060,2023-10-01,Meta Ads,Conversion,25-34,Chennai,16767,471,23,2.8139,4.9084,7515.27,14600.0,15.96,1.9427
CAMP-0061,2023-01-26,YouTube,Lead Generation,45-54,Delhi,37049,325,4,0.8791,1.281,2687.25,7099.3,8.27,2.6418
CAMP-0062,2023-02-11,YouTube,Retargeting,45-54,Bangalore,50822,263,4,0.5194,1.871,3944.76,7987.9,15.0,2.0249
CAMP-0063,2023-04-13,Google Search,Brand Awareness,18-24,Delhi,5333,345,17,6.4853,4.9542,9804.33,37118.93,28.42,3.786
CAMP-0064,2023-07-08,Meta Ads,Conversion,35-44,Kolkata,25996,574,30,2.2118,5.3803,9540.04,29786.35,16.62,3.1222
CAMP-0065,2023-01-14,Meta Ads,Retargeting,18-24,Chennai,35444,762,28,2.1516,3.7793,9527.81,32399.32,12.5,3.4005
CAMP-0066,2023-11-18,Meta Ads,Brand Awareness,55+,Pune,30915,372,11,1.2038,3.0222,6771.71,19100.96,18.2,2.8207
CAMP-0067,2023-08-08,Google Search,Brand Awareness,35-44,Chennai,11071,473,42,4.2758,9.0615,8645.66,39339.02,18.28,4.5501
CAMP-0068,2023-11-22,YouTube,Brand Awareness,45-54,Bangalore,78430,1042,22,1.3287,2.1732,9747.78,25350.98,9.35,2.6007
CAMP-0069,2023-10-31,Email,Conversion,45-54,Hyderabad,4198,679,63,16.19,9.4095,5165.65,30150.79,7.61,5.8368
CAMP-0070,2023-11-09,YouTube,Lead Generation,45-54,Chennai,63790,560,5,0.879,0.9517,7565.34,13411.53,13.51,1.7728
CAMP-0071,2023-05-24,Meta Ads,Retargeting,35-44,Bangalore,33105,699,27,2.1116,3.9049,7194.58,15902.22,10.29,2.2103
CAMP-0072,2023-05-04,YouTube,Conversion,55+,Kolkata,65259,636,10,0.9761,1.6966,6030.39,9201.56,9.48,1.5259
CAMP-0073,2023-05-05,Email,Lead Generation,45-54,Pune,4508,930,97,20.6315,10.5212,4948.38,29845.03,5.32,6.0313
CAMP-0074,2023-08-21,LinkedIn,Retargeting,35-44,Pune,5219,152,6,2.9199,4.3144,8945.41,28008.94,58.85,3.1311
CAMP-0075,2023-09-05,LinkedIn,Lead Generation,25-34,Delhi,5265,219,19,4.1738,8.9784,11165.82,34234.38,50.99,3.066
CAMP-0076,2023-07-04,Google Search,Lead Generation,35-44,Delhi,7939,413,38,5.2091,9.3941,8584.13,31021.24,20.78,3.6138
CAMP-0077,2023-09-09,Google Search,Retargeting,25-34,Pune,6680,500,51,7.4909,10.2314,14163.37,65168.1,28.33,4.6012
CAMP-0078,2023-09-02,Meta Ads,Brand Awareness,35-44,Kolkata,22476,594,20,2.6442,3.5223,5280.06,15154.08,8.89,2.8701
CAMP-0079,2023-10-16,Google Search,Lead Generation,25-34,Kolkata,9978,433,35,4.3407,8.1132,13110.2,59526.01,30.28,4.5404
CAMP-0080,2023-08-19,LinkedIn,Lead Generation,55+,Hyderabad,6626,191,7,2.8921,3.7479,9006.26,32758.1,47.15,3.6373
CAMP-0081,2023-04-19,Google Search,Brand Awareness,25-34,Pune,9335,620,46,6.6417,7.5209,13530.82,49897.09,21.82,3.6877
CAMP-0082,2023-11-01,Google Search,Conversion,45-54,Pune,12699,655,36,5.165,5.5416,21977.23,115544.6,33.55,5.2575
CAMP-0083,2023-11-17,YouTube,Brand Awareness,25-34,Bangalore,58652,681,25,1.1612,3.7275,6300.2,14596.58,9.25,2.3168
CAMP-0084,2023-01-31,Meta Ads,Retargeting,25-34,Mumbai,25873,668,32,2.5853,4.9207,11951.11,40227.76,17.89,3.366
CAMP-0085,2023-06-05,YouTube,Brand Awareness,45-54,Pune,65857,594,8,0.9025,1.39,6177.49,13322.61,10.4,2.1566
CAMP-0086,2023-06-15,LinkedIn,Brand Awareness,45-54,Pune,7945,218,6,2.7511,3.0288,14927.86,62277.8,68.48,4.1719
CAMP-0087,2023-01-21,LinkedIn,Brand Awareness,35-44,Chennai,9251,394,21,4.2688,5.3702,22087.79,95687.52,56.06,4.3321
CAMP-0088,2023-08-29,Meta Ads,Conversion,45-54,Mumbai,37803,686,18,1.8167,2.6669,6349.07,13164.18,9.26,2.0734
CAMP-0089,2023-07-25,YouTube,Conversion,35-44,Pune,73317,924,10,1.2605,1.1807,5433.67,10207.68,5.88,1.8786
CAMP-0090,2023-01-01,Google Search,Conversion,55+,Kolkata,13889,812,29,5.8479,3.6897,23877.4,120738.1,29.41,5.0566
CAMP-0091,2023-05-17,YouTube,Conversion,18-24,Delhi,55993,353,4,0.631,1.2608,4874.39,10855.6,13.81,2.2271
CAMP-0092,2023-10-10,Google Search,Lead Generation,25-34,Bangalore,5224,324,23,6.209,7.1059,12904.81,74619.8,39.83,5.7823
CAMP-0093,2023-05-30,YouTube,Brand Awareness,25-34,Hyderabad,53349,643,15,1.2054,2.3803,6317.47,13951.06,9.82,2.2083
CAMP-0094,2023-11-03,YouTube,Lead Generation,45-54,Delhi,53308,664,7,1.2463,1.1457,3783.54,10060.48,5.7,2.659
CAMP-0095,2023-01-02,YouTube,Retargeting,55+,Bangalore,38536,472,8,1.2261,1.8725,5097.24,12691.67,10.8,2.4899
CAMP-0096,2023-06-26,Meta Ads,Conversion,55+,Hyderabad,36786,773,19,2.1038,2.5412,10407.78,24427.28,13.46,2.347
CAMP-0097,2023-04-30,Meta Ads,Lead Generation,55+,Hyderabad,41920,455,13,1.0873,2.9639,7490.54,23815.39,16.46,3.1794
CAMP-0098,2023-03-06,YouTube,Lead Generation,45-54,Mumbai,52918,775,11,1.4654,1.4976,4652.83,12876.98,6.0,2.7676
CAMP-0099,2023-03-15,Google Search,Conversion,18-24,Pune,11717,876,69,7.4837,7.8798,17210.09,93860.62,19.65,5.4538
CAMP-0100,2023-07-23,Email,Retargeting,55+,Pune,7323,955,75,13.0441,7.9,5774.07,38113.87,6.05,6.6009
CAMP-0101,2023-11-13,Email,Conversion,55+,Mumbai,2560,385,40,15.052,10.3908,1433.85,8147.79,3.72,5.6825
CAMP-0102,2023-11-21,Google Search,Conversion,18-24,Kolkata,6646,383,25,5.7747,6.776,14506.25,52439.77,37.88,3.615
CAMP-0103,2023-08-09,Google Search,Retargeting,35-44,Bangalore,7385,367,28,4.9768,7.7663,12110.86,47839.62,33.0,3.9501
CAMP-0104,2023-07-15,Meta Ads,Brand Awareness,55+,Kolkata,30783,614,16,1.9953,2.6246,6622.76,19102.94,10.79,2.8844
CAMP-0105,2023-08-27,YouTube,Retargeting,18-24,Kolkata,79061,622,10,0.7876,1.6746,3569.42,10415.04,5.74,2.9179
CAMP-0106,2023-05-09,LinkedIn,Retargeting,45-54,Pune,6742,305,10,4.5359,3.4172,13843.26,47986.5,45.39,3.4664
CAMP-0107,2023-10-22,Meta Ads,Conversion,55+,Bangalore,34390,1026,20,2.9854,2.02,20248.45,59105.04,19.74,2.919
CAMP-0108,2023-12-18,Email,Brand Awareness,55+,Kolkata,2401,572,61,23.838,10.8162,4002.3,30852.95,7.0,7.7088
CAMP-0109,2023-04-08,Meta Ads,Retargeting,25-34,Pune,31425,740,40,2.3555,5.4116,11773.53,37971.67,15.91,3.2252
CAMP-0110,2023-08-14,Google Search,Brand Awareness,35-44,Kolkata,5546,350,33,6.3183,9.528,6994.03,29639.13,19.98,4.2378
CAMP-0111,2023-10-04,YouTube,Lead Generation,25-34,Delhi,77439,1139,30,1.4715,2.6802,16099.62,44204.87,14.13,2.7457
CAMP-0112,2023-06-23,Email,Conversion,35-44,Pune,2943,532,51,18.0883,9.6283,3471.25,19705.75,6.52,5.6768
CAMP-0113,2023-07-22,YouTube,Retargeting,18-24,Kolkata,20912,159,1,0.7645,0.9977,1381.05,3623.21,8.69,2.6235
CAMP-0114,2023-12-12,Email,Conversion,35-44,Mumbai,3915,709,110,18.1292,15.615,5430.24,32494.66,7.66,5.984
CAMP-0115,2023-08-26,LinkedIn,Lead Generation,18-24,Pune,8743,254,9,2.9066,3.7065,9040.13,39708.98,35.59,4.3925
CAMP-0116,2023-05-01,Email,Conversion,18-24,Mumbai,6403,881,88,13.7636,10.0292,5306.19,38360.68,6.02,7.2294
CAMP-0117,2023-03-21,LinkedIn,Conversion,55+,Pune,6398,253,11,3.9648,4.4343,13820.4,60507.18,54.63,4.3781
CAMP-0118,2023-08-16,Email,Brand Awareness,35-44,Delhi,5642,1374,250,24.3572,18.21,3567.08,25173.03,2.6,7.057
CAMP-0119,2023-05-22,LinkedIn,Retargeting,18-24,Hyderabad,4554,223,12,4.9046,5.4368,14041.78,37678.97,62.97,2.6833
CAMP-0120,2023-06-20,Meta Ads,Brand Awareness,18-24,Kolkata,30962,921,32,2.9776,3.4887,9635.93,30937.99,10.46,3.2107
CAMP-0121,2023-04-30,LinkedIn,Lead Generation,55+,Delhi,5691,246,10,4.3231,4.3082,13244.46,40455.86,53.84,3.0545
CAMP-0122,2023-03-31,Meta Ads,Lead Generation,55+,Bangalore,22204,515,7,2.3221,1.4541,4211.84,13237.7,8.18,3.143
CAMP-0123,2023-05-16,Meta Ads,Retargeting,18-24,Delhi,18434,231,6,1.2535,2.6103,2163.04,4127.19,9.36,1.9081
CAMP-0124,2023-02-25,YouTube,Retargeting,55+,Chennai,49622,498,10,1.0038,2.0236,2705.96,7238.01,5.43,2.6748
CAMP-0125,2023-01-16,LinkedIn,Retargeting,45-54,Pune,3498,174,10,4.9958,5.7503,8186.86,22234.89,47.05,2.7159
CAMP-0126,2023-11-08,YouTube,Brand Awareness,18-24,Bangalore,29721,168,2,0.5657,1.24,1903.57,4421.11,11.33,2.3225
CAMP-0127,2023-05-31,Email,Conversion,55+,Chennai,5716,1061,91,18.5722,8.6114,7170.85,38315.59,6.76,5.3432
CAMP-0128,2023-04-27,LinkedIn,Lead Generation,45-54,Hyderabad,6389,192,8,3.0168,4.3326,8954.8,24089.95,46.64,2.6902
CAMP-0129,2023-03-20,YouTube,Retargeting,35-44,Bangalore,65011,925,11,1.423,1.2477,12318.89,20201.07,13.32,1.6398
CAMP-0130,2023-01-31,Google Search,Retargeting,25-34,Chennai,14608,1143,116,7.8265,10.1509,37422.15,169410.88,32.74,4.527
CAMP-0131,2023-06-09,YouTube,Brand Awareness,35-44,Chennai,43045,259,5,0.6036,2.2163,1695.75,3770.13,6.55,2.2233
CAMP-0132,2023-02-28,Google Search,Retargeting,55+,Bangalore,9564,602,38,6.2964,6.3253,22029.23,130773.58,36.59,5.9364
CAMP-0133,2023-12-22,LinkedIn,Brand Awareness,55+,Pune,5190,108,3,2.0869,2.8652,6533.61,28375.96,60.5,4.3431
CAMP-0134,2023-03-15,Email,Brand Awareness,25-34,Kolkata,6639,1364,154,20.5455,11.3046,8792.09,69593.18,6.45,7.9154
CAMP-0135,2023-08-21,Google Search,Lead Generation,45-54,Hyderabad,10585,490,28,4.6296,5.9024,12316.85,72096.91,25.14,5.8535
CAMP-0136,2023-03-22,LinkedIn,Brand Awareness,18-24,Delhi,9180,353,16,3.8535,4.5567,14432.09,55186.54,40.88,3.8239
CAMP-0137,2023-04-21,YouTube,Conversion,45-54,Bangalore,69475,703,10,1.0123,1.5213,4294.56,10810.81,6.11,2.5173
CAMP-0138,2023-06-07,LinkedIn,Conversion,55+,Pune,3372,89,4,2.6616,4.8564,2865.02,8333.9,32.19,2.9088
CAMP-0139,2023-06-17,Meta Ads,Lead Generation,35-44,Bangalore,22863,232,10,1.0155,4.6651,2345.13,5737.02,10.11,2.4464
CAMP-0140,2023-01-22,Meta Ads,Retargeting,18-24,Hyderabad,43588,452,17,1.0375,3.8108,8292.08,23041.95,18.35,2.7788
CAMP-0141,2023-02-28,LinkedIn,Conversion,45-54,Bangalore,6318,130,5,2.0626,3.8692,8066.88,30139.88,62.05,3.7362
CAMP-0142,2023-02-24,Email,Brand Awareness,45-54,Kolkata,3993,705,76,17.6638,10.804,1742.68,13264.54,2.47,7.6116
CAMP-0143,2023-03-28,Email,Lead Generation,35-44,Kolkata,2625,489,49,18.6363,10.0543,2474.2,19095.3,5.06,7.7178
CAMP-0144,2023-02-22,Email,Retargeting,25-34,Delhi,3199,490,62,15.3276,12.6555,1429.44,10402.69,2.92,7.2775
CAMP-0145,2023-10-16,Google Search,Lead Generation,45-54,Hyderabad,14494,840,72,5.7956,8.6587,25551.81,130013.89,30.42,5.0882
CAMP-0146,2023-08-14,LinkedIn,Retargeting,35-44,Delhi,3559,121,7,3.4068,6.0781,7484.24,27563.25,61.85,3.6828
CAMP-0147,2023-08-20,Email,Brand Awareness,35-44,Hyderabad,2308,294,52,12.7396,17.9487,723.35,5492.22,2.46,7.5928
CAMP-0148,2023-10-11,Google Search,Conversion,45-54,Chennai,5672,328,26,5.7989,8.1442,10607.66,45653.43,32.34,4.3038
CAMP-0149,2023-02-22,YouTube,Lead Generation,18-24,Hyderabad,73147,1023,13,1.3991,1.3495,12422.45,28035.28,12.14,2.2568
CAMP-0150,2023-08-13,Meta Ads,Brand Awareness,25-34,Pune,43797,897,44,2.0481,4.9782,11093.0,37277.94,12.37,3.3605
CAMP-0151,2023-11-03,YouTube,Conversion,35-44,Pune,23431,302,7,1.2892,2.5241,1709.05,2805.85,5.66,1.6418
CAMP-0152,2023-12-03,YouTube,Retargeting,35-44,Pune,79398,875,12,1.1027,1.4308,5088.14,12697.04,5.82,2.4954
CAMP-0153,2023-11-01,Email,Retargeting,45-54,Delhi,7806,1888,188,24.194,9.9862,8043.02,59317.16,4.26,7.375
CAMP-0154,2023-07-05,Meta Ads,Brand Awareness,45-54,Chennai,16194,279,6,1.7252,2.2867,2949.12,10059.55,10.57,3.411
CAMP-0155,2023-03-21,YouTube,Lead Generation,25-34,Delhi,25057,199,6,0.7958,3.3491,2005.3,4631.55,10.08,2.3097
CAMP-0156,2023-11-13,LinkedIn,Brand Awareness,35-44,Kolkata,4073,154,6,3.7917,3.9787,5734.01,22280.59,37.23,3.8857
CAMP-0157,2023-07-30,LinkedIn,Lead Generation,45-54,Mumbai,5984,241,8,4.0291,3.5551,11512.08,35340.43,47.77,3.0699
CAMP-0158,2023-06-08,YouTube,Lead Generation,55+,Delhi,72993,937,18,1.2844,1.9656,6502.93,16370.87,6.94,2.5175
CAMP-0159,2023-05-25,LinkedIn,Conversion,45-54,Kolkata,9374,294,13,3.1456,4.5989,20183.31,83433.41,68.65,4.1338
CAMP-0160,2023-11-25,LinkedIn,Lead Generation,35-44,Mumbai,6936,320,18,4.6224,5.74,10913.15,45745.57,34.1,4.1918
CAMP-0161,2023-03-24,Google Search,Retargeting,18-24,Kolkata,9469,548,33,5.7973,6.0534,19883.1,74149.73,36.28,3.7293
CAMP-0162,2023-08-01,Meta Ads,Conversion,35-44,Mumbai,18490,331,11,1.7929,3.4341,4181.85,8107.47,12.63,1.9387
CAMP-0163,2023-11-29,Meta Ads,Brand Awareness,35-44,Mumbai,36973,954,25,2.5828,2.6541,10916.2,35047.49,11.44,3.2106
CAMP-0164,2023-01-03,Meta Ads,Conversion,45-54,Chennai,20192,209,4,1.038,2.3823,2047.0,6956.49,9.79,3.3984
CAMP-0165,2023-05-28,LinkedIn,Conversion,18-24,Kolkata,4946,143,3,2.9035,2.5528,6691.4,27353.09,46.79,4.0878
CAMP-0166,2023-09-13,YouTube,Brand Awareness,18-24,Kolkata,59107,612,11,1.0361,1.8111,6579.29,16960.2,10.75,2.5778
CAMP-0167,2023-06-30,Email,Conversion,18-24,Chennai,3970,770,60,19.4186,7.8985,4627.15,30402.47,6.01,6.5705
CAMP-0168,2023-09-17,Email,Brand Awareness,55+,Chennai,6158,1182,98,19.204,8.3332,5698.2,39357.54,4.82,6.907
CAMP-0169,2023-02-04,Email,Retargeting,18-24,Bangalore,4824,730,85,15.1346,11.6568,1914.05,12911.63,2.62,6.7457
CAMP-0170,2023-10-07,Email,Lead Generation,18-24,Bangalore,4773,1077,84,22.5756,7.8007,7188.82,45964.37,6.67,6.3939
CAMP-0171,2023-08-23,YouTube,Lead Generation,25-34,Mumbai,22423,177,2,0.7934,1.4139,1238.06,1934.91,6.99,1.5629
CAMP-0172,2023-05-10,Email,Conversion,55+,Hyderabad,2299,501,34,21.7928,6.9377,2075.06,15236.18,4.14,7.3425
CAMP-0173,2023-07-08,Email,Retargeting,18-24,Kolkata,5579,1314,162,23.5633,12.3465,9681.32,59636.3,7.37,6.1599
CAMP-0174,2023-09-23,Meta Ads,Conversion,45-54,Bangalore,32479,845,31,2.6023,3.7631,7560.32,21351.63,8.95,2.8242
CAMP-0175,2023-02-10,Meta Ads,Retargeting,35-44,Mumbai,36490,847,27,2.3218,3.2114,12901.05,32567.38,15.23,2.5244
CAMP-0176,2023-06-30,YouTube,Retargeting,45-54,Mumbai,60294,903,12,1.4982,1.3942,13364.65,39049.59,14.8,2.9219
CAMP-0177,2023-12-14,Google Search,Conversion,35-44,Chennai,7621,595,37,7.8112,6.2853,18663.13,101775.27,31.37,5.4533
CAMP-0178,2023-11-27,Google Search,Lead Generation,18-24,Delhi,11001,599,46,5.4486,7.7979,11208.77,43530.33,18.71,3.8836
CAMP-0179,2023-02-09,YouTube,Retargeting,35-44,Hyderabad,57612,367,6,0.6377,1.9073,2988.79,5732.6,8.14,1.918
CAMP-0180,2023-09-23,Google Search,Brand Awareness,25-34,Hyderabad,11340,867,62,7.6542,7.2654,30387.67,159842.02,35.05,5.2601
CAMP-0181,2023-03-04,Meta Ads,Retargeting,45-54,Delhi,23895,646,19,2.7057,3.0205,12134.56,31024.3,18.78,2.5567
CAMP-0182,2023-02-03,Google Search,Retargeting,35-44,Pune,14011,864,89,6.1687,10.4023,31734.69,167544.02,36.73,5.2795
CAMP-0183,2023-03-04,Meta Ads,Retargeting,55+,Delhi,28171,727,13,2.5841,1.8971,10125.85,24438.98,13.93,2.4135
CAMP-0184,2023-10-10,LinkedIn,Retargeting,45-54,Kolkata,4063,155,4,3.8358,3.0104,6567.6,29548.88,42.37,4.4992
CAMP-0185,2023-10-22,YouTube,Conversion,45-54,Kolkata,24833,155,2,0.6253,1.4706,889.96,1956.8,5.74,2.1988
CAMP-0186,2023-10-10,LinkedIn,Retargeting,25-34,Kolkata,8241,310,24,3.7634,7.8925,10900.01,38212.47,35.16,3.5057
CAMP-0187,2023-06-05,Google Search,Brand Awareness,55+,Delhi,7697,357,24,4.6479,6.7716,8196.84,48104.86,22.96,5.8687
CAMP-0188,2023-04-11,LinkedIn,Retargeting,18-24,Bangalore,8202,399,13,4.8691,3.2782,21945.36,81831.1,55.0,3.7289
CAMP-0189,2023-03-20,Google Search,Lead Generation,55+,Chennai,7804,517,31,6.6349,6.0222,16188.85,90759.95,31.31,5.6063
CAMP-0190,2023-01-24,LinkedIn,Brand Awareness,18-24,Mumbai,8254,356,11,4.3131,3.2469,13681.91,49860.63,38.43,3.6443
CAMP-0191,2023-10-07,LinkedIn,Brand Awareness,45-54,Pune,5372,210,7,3.9257,3.7875,8356.97,34386.41,39.8,4.1147
